Experiment	Run	SortedStrain	ProjectID	TaxID	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id		Sample	BioSample	SampleType		ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
DRX300641	DRR012600	SH1000 (NCTC8325 der.)	855657	426430	2014-04-02 23:24:41	2014-03-27 8:05:18	26216809	943805124	0	36	650		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/012/DRR012600/DRR012600.sralite.1	TSB (early log)	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335			DRS011392	SAMD00010234	simple		Staphylococcus aureus subsp. aureus str. Newman	SAMD00010234							no					UT_MGS	DRA001015		public	AB575DA15065B5677C69CDB6BB83F2AF	4BF3B159DC3D0AF10FBA0AC579831C08		
DRX300642	DRR012601	SH1000 (NCTC8325 der.)	855657	426430	2014-04-02 23:24:41	2014-03-27 8:06:01	33989978	1223639208	0	36	845		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/012/DRR012601/DRR012601.sralite.1	TSB + 10% Bovine Serum ( early log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335			DRS011393	SAMD00010231	simple		Staphylococcus aureus subsp. aureus str. Newman	SAMD00010231							no					UT_MGS	DRA001015		public	DCFEE2373B87EFFEC851C35507DCFA51	F3ED403B99626EC42278785AFA16ABE4		
DRX300643	DRR012602	SH1000 (NCTC8325 der.)	855657	426430	2014-04-02 23:24:41	2014-03-27 8:05:41	27655098	995583528	0	36	687		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/012/DRR012602/DRR012602.sralite.1	TSB + 1% Surfantan ( early log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335			DRS011394	SAMD00010236	simple		Staphylococcus aureus subsp. aureus str. Newman	SAMD00010236							no					UT_MGS	DRA001015		public	A53F82EA60FE5ADF9CE14B929D9CE0E6	CCD6637AA77C0F031841E3F543A8DE7D		
ERX1222798	DRR012603	HG001 (NCTC 8325 der.)	309786	426430	2014-04-02 23:24:41	2014-03-27 8:05:03	12993070	467750520	0	36	264		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/012/DRR012603/DRR012603.sralite.1	TSB (late log)	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335			DRS011395	SAMD00010233	simple		Staphylococcus aureus subsp. aureus str. Newman	SAMD00010233							no					UT_MGS	DRA001015		public	68EB93D662F21875786CE2A33453EED8	3EF11F12DFFA8640A6D3C63F24AB5039		
ERX1222799	DRR012604	HG001 (NCTC 8325 der.)	309786	426430	2014-04-02 23:24:41	2014-03-27 8:05:25	13167447	474028092	0	36	271		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/012/DRR012604/DRR012604.sralite.1	TSB + 10% Bovine Serum ( late log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335			DRS011396	SAMD00010232	simple		Staphylococcus aureus subsp. aureus str. Newman	SAMD00010232							no					UT_MGS	DRA001015		public	297328D7DB35343EDF31DA44C8F30374	921F3308F6391114AF79E74DD9664BF7		
ERX1222800	DRR012605	HG001 (NCTC 8325 der.)	309786	426430	2014-04-02 23:24:41	2014-03-27 8:06:07	10163222	365875992	0	36	207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/012/DRR012605/DRR012605.sralite.1	TSB + 1% Surfantan ( late log )	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001057	PRJDB2335			DRS011397	SAMD00010235	simple		Staphylococcus aureus subsp. aureus str. Newman	SAMD00010235							no					UT_MGS	DRA001015		public	111BFE9CD862AC92481A5FBFBC4E0465	AF7DD0B16261F7CB6108EBE4EC7E388B		
ERX2826862	DRR084259	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:22	24073797	866656692	0	36	629		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084259/DRR084259.sralite.1	1_RN4220-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086253	SAMD00071757	simple		Staphylococcus aureus	SAMD00071757							no					UT_GSPS	DRA005493		public	69797B56C7226BE4D8C02A8AD3E91EEA	A522A281177112883E453D297DEA609F		
ERX2826863	DRR084260	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:32:13	20841672	750300192	0	36	542		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084260/DRR084260.sralite.1	2_RN4220-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086254	SAMD00071758	simple		Staphylococcus aureus	SAMD00071758							no					UT_GSPS	DRA005493		public	B29BCF8E2E6CA207B96DE183FED55240	5FB98589C299944F785BC229F99525F0		
ERX2826864	DRR084261	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:52	35553662	1279931832	0	36	927		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084261/DRR084261.sralite.1	3_RN4220-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086255	SAMD00071759	simple		Staphylococcus aureus	SAMD00071759							no					UT_GSPS	DRA005493		public	82B66356ACA2779980ACC613173CC80C	F6BC964232E4CF153E5EC2238BAB44F0		
ERX2826865	DRR084262	HG001	574312	1280	2019-01-18 16:30:20	2019-01-18 16:31:45	15933822	573617592	0	36	417		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/084/DRR084262/DRR084262.sralite.1	4_DcvfE-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004747	PRJDB5479			DRS086256	SAMD00071760	simple		Staphylococcus aureus	SAMD00071760							no					UT_GSPS	DRA005493		public	1B57268C1A3178A404EC23FB71AE127A	1B3B69EC14A454C7D3E14C0D29CE8B5A		
