Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
DRX300641	24303767.0	432580.0	10191096.0	3140951.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10528048.0	10544.0	548.0	1.7798886896833728	24303767.0	21162816.0	87.08	3140951.0	12.92	DRX300641_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24303767.0	0.0	20-36	50.0	6.004582532647298	35.348946070788124	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	2.6	26216809	8663816	26216809	943805124	51043968	868208504	8.009770033840164	0.4639	0.0755	0.4606		
DRX300642	31800126.0	447525.0	13554279.0	3933968.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13853386.0	10431.0	537.0	1.4073057446376156	31800126.0	27866158.0	87.63	3933968.0	12.37	DRX300642_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31800126.0	0.0	20-36	50.0	4.800355323695844	35.33740051847593	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	2.6	33989978	10929129	33989978	1223639208	70647062	1136448139	7.125553711417197	0.4633	0.0756	0.461		
DRX300643	25880550.0	475513.0	10837753.0	3332835.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11222518.0	11320.0	611.0	1.837337305428208	25880550.0	22547715.0	87.12	3332835.0	12.88	DRX300643_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25880550.0	0.0	20-36	50.0	5.913893484739864	35.34372936432958	pass	pass	fail	pass	fail	pass	warn	warn	fail	warn	pass	2.6	27655098	8895944	27655098	995583528	55837414	924827547	7.106985904250516	0.4606	0.0754	0.4641		
ERX1222798	12589406.0	287874.0	5847485.0	306646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6142306.0	4728.0	367.0	2.286636875480861	12589406.0	12282760.0	97.56	306646.0	2.44	ERX1222798_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12589406.0	0.0	20-36	50.0	5.235722764325579	35.48732990261812	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	12993070	4318136	12993070	467750520	10062675	447495288	4.33034943499368	0.4683	0.0663	0.4654		
ERX1222799	12279296.0	182627.0	5912836.0	236978.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5943366.0	3143.0	346.0	1.487275817766751	12279296.0	12042318.0	98.07	236978.0	1.93	ERX1222799_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12279296.0	0.0	20-36	50.0	4.271782901313659	35.494894169828626	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	13167447	4595723	13167447	474028092	12909294	436732392	7.867824846127474	0.4785	0.0657	0.4559		
ERX1222800	9889673.0	191682.0	4685126.0	188547.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4820307.0	3766.0	245.0	1.9382036190680925	9889673.0	9701126.0	98.09	188547.0	1.91	ERX1222800_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9889673.0	0.0	20-36	50.0	5.224599526623798	35.50150829051678	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10163222	3313955	10163222	365875992	8440767	351685369	3.878533522363501	0.4748	0.0697	0.4555		
ERX2826862	23615203.0	1096110.0	21810701.0	476498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196637.0	33904.0	1353.0	4.641543839364836	23615203.0	23138705.0	97.98	476498.0	2.02	ERX2826862_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23615203.0	0.0	20-36	50.0	4.843030414340392	35.5237971911569	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	24073797	6953982	24073797	866656692	15464587	841424554	2.911434046827853	0.004	0.1303	0.8657		
ERX2826863	20458199.0	1004880.0	18777742.0	410817.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233817.0	29687.0	1256.0	4.911869319484086	20458199.0	20047382.0	97.99	410817.0	2.01	ERX2826863_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20458199.0	0.0	20-36	50.0	5.293085825125153	35.52931340632672	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	20841672	6047024	20841672	750300192	12602848	728757437	2.871218111057074	0.0065	0.1423	0.8512		
ERX2826864	34564372.0	1591457.0	31784168.0	792395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346763.0	47654.0	1935.0	4.604327832138828	34564372.0	33771977.0	97.71	792395.0	2.29	ERX2826864_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34564372.0	0.0	20-36	50.0	4.477907855744234	35.51815111815137	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	35553662	10479157	35553662	1279931832	25465227	1231578751	3.777785643821694	0.0056	0.1382	0.8562		
ERX2826865	15619341.0	836926.0	14175609.0	311497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270673.0	23556.0	1080.0	5.358267035721929	15619341.0	15307844.0	98.01	311497.0	1.99	ERX2826865_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15619341.0	0.0	20-36	50.0	5.881881043853939	35.52073611812432	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass	2.6	15933822	4630451	15933822	573617592	9718803	556442649	2.994145095884716	0.0107	0.165	0.8242		
