,gene_id,database,kegg_id
0,#query,KEGG_orth,Preferred_name
1,SAOUHSC_00001,KEGG_orth,dnaA
2,SAOUHSC_00002,KEGG_orth,dnaN
3,SAOUHSC_00003,KEGG_orth,yaaA
4,SAOUHSC_00004,KEGG_orth,recF
5,SAOUHSC_00005,KEGG_orth,gyrB
6,SAOUHSC_00006,KEGG_orth,gyrA
7,SAOUHSC_00007,KEGG_orth,nnrD
8,SAOUHSC_00008,KEGG_orth,hutH
9,SAOUHSC_00009,KEGG_orth,serS
10,SAOUHSC_00010,KEGG_orth,azlC
11,SAOUHSC_00012,KEGG_orth,azlD
12,SAOUHSC_00013,KEGG_orth,metXA
13,SAOUHSC_00014,KEGG_orth,yybS
14,SAOUHSC_00015,KEGG_orth,yybT
15,SAOUHSC_00017,KEGG_orth,rplI
16,SAOUHSC_00018,KEGG_orth,dnaB
17,SAOUHSC_00019,KEGG_orth,purA
18,SAOUHSC_00020,KEGG_orth,yycF
19,SAOUHSC_00021,KEGG_orth,vicK
20,SAOUHSC_00022,KEGG_orth,yycH
21,SAOUHSC_00023,KEGG_orth,yycI
22,SAOUHSC_00024,KEGG_orth,vicX
23,SAOUHSC_00025,KEGG_orth,-
24,SAOUHSC_00027,KEGG_orth,rlmH
25,SAOUHSC_00031,KEGG_orth,dus
26,SAOUHSC_00033,KEGG_orth,yrkJ
27,SAOUHSC_00034,KEGG_orth,csoR
28,SAOUHSC_00035,KEGG_orth,yrkE
29,SAOUHSC_00036,KEGG_orth,baeB
30,SAOUHSC_00037,KEGG_orth,-
31,SAOUHSC_00039,KEGG_orth,dus
32,SAOUHSC_00040,KEGG_orth,-
33,SAOUHSC_00041,KEGG_orth,-
34,SAOUHSC_00042,KEGG_orth,-
35,SAOUHSC_00043,KEGG_orth,ywqN
36,SAOUHSC_00044,KEGG_orth,-
37,SAOUHSC_00045,KEGG_orth,-
38,SAOUHSC_00046,KEGG_orth,-
39,SAOUHSC_00049,KEGG_orth,-
40,SAOUHSC_00051,KEGG_orth,-
41,SAOUHSC_00052,KEGG_orth,-
42,SAOUHSC_00053,KEGG_orth,-
43,SAOUHSC_00054,KEGG_orth,-
44,SAOUHSC_00055,KEGG_orth,-
45,SAOUHSC_00056,KEGG_orth,-
46,SAOUHSC_00057,KEGG_orth,amd
47,SAOUHSC_00058,KEGG_orth,-
48,SAOUHSC_00060,KEGG_orth,yjbB
49,SAOUHSC_00061,KEGG_orth,mycA
50,SAOUHSC_00062,KEGG_orth,-
51,SAOUHSC_00064,KEGG_orth,-
52,SAOUHSC_00065,KEGG_orth,-
53,SAOUHSC_00067,KEGG_orth,lctP
54,SAOUHSC_00069,KEGG_orth,-
55,SAOUHSC_00070,KEGG_orth,-
56,SAOUHSC_00071,KEGG_orth,yfhA
57,SAOUHSC_00072,KEGG_orth,sirB
58,SAOUHSC_00074,KEGG_orth,sirA
59,SAOUHSC_00075,KEGG_orth,sbnA
60,SAOUHSC_00076,KEGG_orth,sbnB
61,SAOUHSC_00077,KEGG_orth,-
62,SAOUHSC_00078,KEGG_orth,-
63,SAOUHSC_00079,KEGG_orth,-
64,SAOUHSC_00080,KEGG_orth,-
65,SAOUHSC_00081,KEGG_orth,-
66,SAOUHSC_00082,KEGG_orth,-
67,SAOUHSC_00083,KEGG_orth,-
68,SAOUHSC_00086,KEGG_orth,budC
69,SAOUHSC_00088,KEGG_orth,cps2D
70,SAOUHSC_00089,KEGG_orth,-
71,SAOUHSC_00090,KEGG_orth,-
72,SAOUHSC_00091,KEGG_orth,-
73,SAOUHSC_00092,KEGG_orth,-
74,SAOUHSC_00093,KEGG_orth,sodA
75,SAOUHSC_00094,KEGG_orth,-
76,SAOUHSC_00096,KEGG_orth,-
77,SAOUHSC_00097,KEGG_orth,deoD
78,SAOUHSC_00099,KEGG_orth,-
79,SAOUHSC_00100,KEGG_orth,deoC
80,SAOUHSC_00101,KEGG_orth,deoB
81,SAOUHSC_00102,KEGG_orth,ptxC
82,SAOUHSC_00103,KEGG_orth,phnE
83,SAOUHSC_00104,KEGG_orth,phnC
84,SAOUHSC_00105,KEGG_orth,phnD
85,SAOUHSC_00106,KEGG_orth,M1-554
86,SAOUHSC_00107,KEGG_orth,ycjM
87,SAOUHSC_00109,KEGG_orth,-
88,SAOUHSC_00113,KEGG_orth,adh
89,SAOUHSC_00114,KEGG_orth,capA
90,SAOUHSC_00115,KEGG_orth,capB
91,SAOUHSC_00116,KEGG_orth,ywqE
92,SAOUHSC_00117,KEGG_orth,capD
93,SAOUHSC_00118,KEGG_orth,capE
94,SAOUHSC_00119,KEGG_orth,capF
95,SAOUHSC_00120,KEGG_orth,capG
96,SAOUHSC_00121,KEGG_orth,cat
97,SAOUHSC_00122,KEGG_orth,-
98,SAOUHSC_00123,KEGG_orth,-
99,SAOUHSC_00124,KEGG_orth,-
100,SAOUHSC_00125,KEGG_orth,-
101,SAOUHSC_00126,KEGG_orth,capM
102,SAOUHSC_00127,KEGG_orth,cap5N
103,SAOUHSC_00128,KEGG_orth,capO
104,SAOUHSC_00129,KEGG_orth,mnaA
105,SAOUHSC_00130,KEGG_orth,isdG
106,SAOUHSC_00131,KEGG_orth,-
107,SAOUHSC_00132,KEGG_orth,aldA
108,SAOUHSC_00133,KEGG_orth,-
109,SAOUHSC_00135,KEGG_orth,-
110,SAOUHSC_00136,KEGG_orth,-
111,SAOUHSC_00137,KEGG_orth,-
112,SAOUHSC_00138,KEGG_orth,-
113,SAOUHSC_00139,KEGG_orth,-
114,SAOUHSC_00141,KEGG_orth,-
115,SAOUHSC_00142,KEGG_orth,-
116,SAOUHSC_00143,KEGG_orth,lmrP
117,SAOUHSC_00144,KEGG_orth,nrpS2
118,SAOUHSC_00145,KEGG_orth,-
119,SAOUHSC_00146,KEGG_orth,-
120,SAOUHSC_00147,KEGG_orth,argB
121,SAOUHSC_00148,KEGG_orth,argJ
122,SAOUHSC_00149,KEGG_orth,argC
123,SAOUHSC_00150,KEGG_orth,argD
124,SAOUHSC_00151,KEGG_orth,brnQ
125,SAOUHSC_00152,KEGG_orth,yjgF
126,SAOUHSC_00153,KEGG_orth,ipdC
127,SAOUHSC_00155,KEGG_orth,ptsG
128,SAOUHSC_00156,KEGG_orth,-
129,SAOUHSC_00157,KEGG_orth,murQ
130,SAOUHSC_00158,KEGG_orth,ybbF
131,SAOUHSC_00160,KEGG_orth,-
132,SAOUHSC_00162,KEGG_orth,hsdR
133,SAOUHSC_00163,KEGG_orth,-
134,SAOUHSC_00164,KEGG_orth,-
135,SAOUHSC_00167,KEGG_orth,oppF
136,SAOUHSC_00168,KEGG_orth,-
137,SAOUHSC_00169,KEGG_orth,-
138,SAOUHSC_00170,KEGG_orth,-
139,SAOUHSC_00171,KEGG_orth,ggt
140,SAOUHSC_00173,KEGG_orth,azoR
141,SAOUHSC_00174,KEGG_orth,-
142,SAOUHSC_00175,KEGG_orth,msmK
143,SAOUHSC_00176,KEGG_orth,malE
144,SAOUHSC_00177,KEGG_orth,-
145,SAOUHSC_00178,KEGG_orth,malG
146,SAOUHSC_00179,KEGG_orth,-
147,SAOUHSC_00180,KEGG_orth,-
148,SAOUHSC_00181,KEGG_orth,-
149,SAOUHSC_00182,KEGG_orth,-
150,SAOUHSC_00183,KEGG_orth,uhpT
151,SAOUHSC_00184,KEGG_orth,-
152,SAOUHSC_00185,KEGG_orth,-
153,SAOUHSC_00186,KEGG_orth,-
154,SAOUHSC_00187,KEGG_orth,pflB
155,SAOUHSC_00188,KEGG_orth,pflA
156,SAOUHSC_00190,KEGG_orth,glpQ
157,SAOUHSC_00195,KEGG_orth,fadA
158,SAOUHSC_00196,KEGG_orth,fadN
159,SAOUHSC_00197,KEGG_orth,-
160,SAOUHSC_00198,KEGG_orth,-
161,SAOUHSC_00199,KEGG_orth,pct
162,SAOUHSC_00200,KEGG_orth,-
163,SAOUHSC_00201,KEGG_orth,dppA
164,SAOUHSC_00202,KEGG_orth,yeaO
165,SAOUHSC_00203,KEGG_orth,-
166,SAOUHSC_00204,KEGG_orth,hmp
167,SAOUHSC_00206,KEGG_orth,ldh
168,SAOUHSC_00209,KEGG_orth,ptsG
169,SAOUHSC_00211,KEGG_orth,-
170,SAOUHSC_00213,KEGG_orth,-
171,SAOUHSC_00214,KEGG_orth,-
172,SAOUHSC_00215,KEGG_orth,-
173,SAOUHSC_00216,KEGG_orth,gatC
174,SAOUHSC_00217,KEGG_orth,gutB
175,SAOUHSC_00218,KEGG_orth,-
176,SAOUHSC_00219,KEGG_orth,gatD
177,SAOUHSC_00220,KEGG_orth,tarI
178,SAOUHSC_00221,KEGG_orth,tarJ
179,SAOUHSC_00222,KEGG_orth,tarL
180,SAOUHSC_00223,KEGG_orth,tagF1
181,SAOUHSC_00225,KEGG_orth,tarI
182,SAOUHSC_00226,KEGG_orth,tarJ
183,SAOUHSC_00227,KEGG_orth,tarL
184,SAOUHSC_00228,KEGG_orth,-
185,SAOUHSC_00229,KEGG_orth,scdA
186,SAOUHSC_00230,KEGG_orth,lytS
