locus_tag,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein
SAOUHSC_00001,NC_007795.1,517.0,1878.0,+,dnaA,,chromosomal replication initiation protein,YP_498609.1
SAOUHSC_00002,NC_007795.1,2156.0,3289.0,+,,,DNA polymerase III subunit beta,YP_498610.1
SAOUHSC_00003,NC_007795.1,3670.0,3915.0,+,,,hypothetical protein,YP_498611.1
SAOUHSC_00004,NC_007795.1,3912.0,5024.0,+,recF,,recombination protein F,YP_498612.1
SAOUHSC_00005,NC_007795.1,5034.0,6968.0,+,,,DNA gyrase subunit B,YP_498613.1
SAOUHSC_00006,NC_007795.1,7005.0,9668.0,+,,,DNA gyrase subunit A,YP_498614.1
SAOUHSC_00007,NC_007795.1,9755.0,10456.0,-,,,hypothetical protein,YP_498615.1
SAOUHSC_00008,NC_007795.1,10893.0,12407.0,+,,,histidine ammonia-lyase,YP_498616.1
SAOUHSC_00009,NC_007795.1,12786.0,14072.0,+,,,seryl-tRNA synthetase,YP_498617.1
SAOUHSC_00010,NC_007795.1,14722.0,15417.0,+,,,hypothetical protein,YP_498618.1
SAOUHSC_00012,NC_007795.1,15414.0,15743.0,+,,,hypothetical protein,YP_498619.1
SAOUHSC_00013,NC_007795.1,16106.0,17074.0,+,,,hypothetical protein,YP_498620.1
SAOUHSC_00014,NC_007795.1,17365.0,18303.0,+,,,hypothetical protein,YP_498621.1
SAOUHSC_00015,NC_007795.1,18318.0,20285.0,+,,,hypothetical protein,YP_498622.1
SAOUHSC_00017,NC_007795.1,20282.0,20734.0,+,rplI,,50S ribosomal protein L9,YP_498623.1
SAOUHSC_00018,NC_007795.1,20766.0,22166.0,+,,,replicative DNA helicase,YP_498624.1
SAOUHSC_00019,NC_007795.1,22444.0,23727.0,+,,,adenylosuccinate synthetase,YP_498625.1
SAOUHSC_00020,NC_007795.1,24931.0,25632.0,+,,,two-component response regulator,YP_498626.1
SAOUHSC_00021,NC_007795.1,25645.0,27471.0,+,,,sensory box histidine kinase VicK,YP_498627.1
SAOUHSC_00022,NC_007795.1,27515.0,28798.0,+,,,hypothetical protein,YP_498628.1
SAOUHSC_00023,NC_007795.1,28799.0,29587.0,+,,,hypothetical protein,YP_498629.1
SAOUHSC_00024,NC_007795.1,29977.0,30777.0,+,,,hypothetical protein,YP_498630.1
SAOUHSC_00025,NC_007795.1,31005.0,33323.0,+,,,hypothetical protein,YP_498631.1
SAOUHSC_00026,NC_007795.1,33555.0,34034.0,-,,,hypothetical protein,YP_498632.1
SAOUHSC_00027,NC_007795.1,33691.0,34170.0,+,,,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,YP_498633.1
SAOUHSC_00028,NC_007795.1,34375.0,34509.0,-,,,hypothetical protein,YP_498634.1
SAOUHSC_00029,NC_007795.1,34473.0,34565.0,+,,,hypothetical protein,YP_498635.1
SAOUHSC_00030,NC_007795.1,34712.0,36457.0,+,,,hypothetical protein,YP_498636.1
SAOUHSC_00031,NC_007795.1,36551.0,37003.0,-,,,hypothetical protein,YP_498637.1
SAOUHSC_00032,NC_007795.1,37019.0,37120.0,-,,,hypothetical protein,YP_498638.1
SAOUHSC_00033,NC_007795.1,37218.0,37973.0,-,,,hypothetical protein,YP_498639.1
SAOUHSC_00034,NC_007795.1,37973.0,38233.0,-,,,hypothetical protein,YP_498640.1
SAOUHSC_00035,NC_007795.1,38370.0,39437.0,+,,,hypothetical protein,YP_498641.1
SAOUHSC_00036,NC_007795.1,39468.0,40802.0,+,,,hypothetical protein,YP_498642.1
SAOUHSC_00037,NC_007795.1,40821.0,42014.0,+,,,hypothetical protein,YP_498643.1
SAOUHSC_00038,NC_007795.1,42281.0,42382.0,-,,,hypothetical protein,YP_498644.1
SAOUHSC_00039,NC_007795.1,42681.0,43613.0,-,,,hypothetical protein,YP_498645.1
SAOUHSC_00040,NC_007795.1,43976.0,44179.0,+,,,hypothetical protein,YP_498646.1
SAOUHSC_00041,NC_007795.1,44228.0,44524.0,+,,,hypothetical protein,YP_498647.1
SAOUHSC_00042,NC_007795.1,44596.0,45816.0,-,,,hypothetical protein,YP_498648.1
SAOUHSC_00043,NC_007795.1,45809.0,46360.0,-,,,hypothetical protein,YP_498649.1
SAOUHSC_00044,NC_007795.1,46473.0,47333.0,+,,,hypothetical protein,YP_498650.1
SAOUHSC_00045,NC_007795.1,47689.0,48222.0,-,,,hypothetical protein,YP_498651.1
SAOUHSC_00046,NC_007795.1,48313.0,49056.0,+,,,hypothetical protein,YP_498652.1
SAOUHSC_00047,NC_007795.1,49490.0,50092.0,+,,,hypothetical protein,YP_498653.1
SAOUHSC_00049,NC_007795.1,50359.0,53511.0,+,,,hypothetical protein,YP_498654.1
SAOUHSC_00050,NC_007795.1,53568.0,54050.0,+,,,hypothetical protein,YP_498655.1
SAOUHSC_00051,NC_007795.1,54255.0,55241.0,+,,,1-phosphatidylinositol phosphodiesterase,YP_498656.1
SAOUHSC_00052,NC_007795.1,55462.0,56232.0,+,,,hypothetical protein,YP_498657.1
SAOUHSC_00053,NC_007795.1,56284.0,57054.0,+,,,hypothetical protein,YP_498658.1
SAOUHSC_00054,NC_007795.1,57118.0,57888.0,+,,,hypothetical protein,YP_498659.1
